,note_name,start_time,duration,velocity,tempo
458,E-4,113.01,99/100,104,124
459,G#3,113.01,99/100,104,124
460,C#4,113.01,99/100,83,124
461,C#3,113.01,99/100,83,124
462,E-4,113.01,99/100,83,124
463,C#5,114.01,49/100,120,124
464,B3,114.01,49/100,83,124
465,B2,114.01,49/100,83,124
466,C#5,114.01,49/100,83,124
467,B4,114.51,99/100,109,124
468,E-4,114.51,99/100,109,124
469,G#3,114.51,99/100,109,124
470,C#4,114.51,99/100,83,124
471,C#3,114.51,99/100,83,124
472,B4,114.51,99/100,83,124
473,B-4,115.51,49/100,120,124
474,B-4,115.51,49/100,88,124
475,C#4,115.51,49/100,80,124
476,C#3,115.51,49/100,80,124
477,B-4,116.0,0.5,120,124
478,B-4,116.0,0.5,88,124
479,F#2,116.01,399/100,96,124
480,F#3,116.01,99/100,64,124
481,F#4,117.01,149/100,112,124
482,C#4,117.01,99/100,96,124
483,F#4,117.01,149/100,88,124
484,E-4,117.01,99/100,80,124
485,E-3,117.01,99/100,80,124
486,C#4,118.01,49/100,80,124
487,C#3,118.01,49/100,80,124
488,G#4,118.51,149/100,104,124
489,E-4,118.51,149/100,104,124
490,B3,118.51,149/100,83,124
491,B2,118.51,149/100,83,124
492,G#4,118.51,149/100,83,124
493,E2,120.01,399/100,96,124
494,E3,120.01,99/100,104,124
495,G#4,121.01,99/100,104,124
496,E-4,121.01,99/100,104,124
497,B3,121.01,99/100,83,124
498,B2,121.01,99/100,83,124
499,G#4,121.01,99/100,83,124
500,F#5,122.01,99/100,120,124
501,F#5,122.01,99/100,96,124
502,B-3,122.01,49/100,80,124
503,B-2,122.01,49/100,80,124
504,G#4,122.51,99/100,104,124
505,E-4,122.51,99/100,104,124
506,B3,122.51,99/100,80,124
507,B2,122.51,99/100,80,124
508,E5,123.01,49/100,120,124
509,E5,123.01,49/100,96,124
510,E-5,123.51,49/100,120,124
511,E-5,123.51,49/100,96,124
512,B3,123.51,49/100,80,124
513,B2,123.51,49/100,80,124
514,E-5,124.0,1.0,120,124
515,E-5,124.0,1.0,96,124
516,F#2,124.01,399/100,96,124
517,F#3,124.01,99/100,64,124
518,E5,125.01,99/100,96,124
519,E5,125.01,99/100,109,124
520,G#4,125.01,99/100,109,124
521,E-4,125.01,99/100,109,124
522,B-3,125.01,49/100,80,124
523,B-2,125.01,49/100,80,124
524,C#4,125.51,99/100,80,124
525,C#3,125.51,99/100,80,124
526,F#5,126.01,99/100,120,124
527,F#5,126.01,99/100,96,124
528,F#4,126.51,99/100,104,124
529,C#4,126.51,99/100,104,124
530,B3,126.51,99/100,80,124
531,B2,126.51,99/100,80,124
532,B-5,127.01,99/100,120,124
533,B-5,127.01,99/100,96,124
534,B-3,127.51,49/100,80,124
535,B-2,127.51,49/100,80,124
536,C#6,128.01,99/100,120,124
537,G#2,128.01,399/100,96,124
538,G#3,128.01,99/100,80,124
539,C#6,128.01,99/100,80,124
540,B5,129.01,99/100,109,124
541,G#4,129.01,99/100,109,124
542,E-4,129.01,99/100,109,124
543,C#4,129.01,99/100,85,124
544,C#3,129.01,99/100,85,124
545,B5,129.01,99/100,85,124
546,B-5,130.01,99/100,120,124
547,B-5,130.01,99/100,96,124
548,B3,130.01,49/100,80,124
549,B2,130.01,49/100,80,124
550,G#4,130.51,99/100,104,124
551,E-4,130.51,99/100,104,124
